"month","country","NI_diff","F_I_BWP","F_I","GR_NCM_log_diff","code","sub_lineage","sub_redefine","sub_richness","sub_evenness","sub_richness_redefine","sub_evenness_redefine"
"2021-08","Slovenia",72684,35.9724454267446,38.0233291912052,1.4460425038218,"SVN",2.14508081495482,2.12279716795275,13.24,0.833305225003612,12.85,0.833983121741257
"2021-09","Slovenia",72684,38.6625663763642,42.1489447619203,1.18714657742502,"SVN",2.21548285891186,2.18248088143642,19.63,0.746248748203894,18.32,0.752268475566894
"2021-10","Slovenia",72684,41.8597049291294,46.7723491037829,0.484713751809007,"SVN",2.2543697403967,2.19084639193612,21.24,0.73891247184243,18.59,0.750911352073062
"2021-11","Slovenia",72684,43.547508710765,48.8867065871793,0.694041193088612,"SVN",2.3072724027539,2.21156809689341,28.35,0.690763477227483,22.58,0.710409809360697
"2021-12","Slovenia",61952,42.6141108414305,50.876878829666,-0.678533385456866,"SVN",2.30985662610369,2.1791309236693,28.3,0.691733888300407,22.06,0.705347271981429
"2022-01","Slovenia",61952,41.8932372885759,52.2222500143477,1.74378646819299,"SVN",1.47772581746327,1.01224519826072,29.47,0.437152964127784,22.09,0.327214255942253
"2022-02","Slovenia",61952,41.0844215829247,52.9009110726281,-0.305567204544236,"SVN",0.574184032494888,0.0687486733791484,4,0.414186228119001,3,0.062577739288257
"2019-12","South Africa",-737366,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01","South Africa",-737366,0,0,NA,"ZAF",NA,NA,NA,NA,NA,NA
"2020-02","South Africa",-737366,0,0,NA,"ZAF",NA,NA,NA,NA,NA,NA
"2020-03","South Africa",-737366,0,0,NA,"ZAF",1.30776251206635,1.30776251206635,4.35,0.897288747694106,4.35,0.897288747694106
"2020-04","South Africa",-737366,0,0,1.15489435026794,"ZAF",1.48342466128239,1.48342466128239,6.51,0.798747179386714,6.51,0.798747179386714
"2020-05","South Africa",-737366,0,0,1.83995061178152,"ZAF",2.4813223175206,2.4813223175206,22,0.80274611396059,22,0.80274611396059
"2020-06","South Africa",-704683,0,0,1.47796303455308,"ZAF",2.61577100733839,2.61577100733839,21,0.859172845937165,21,0.859172845937165
"2020-07","South Africa",-704683,0,0,1.05960236498968,"ZAF",2.73201873849833,2.73201873849833,31,0.795582096208753,31,0.795582096208753
"2020-08","South Africa",-704683,0,0,-0.937955174203106,"ZAF",2.81244356804019,2.81244356804019,26,0.863216769429455,26,0.863216769429455
"2020-09","South Africa",-704683,0,0,-1.04031152527194,"ZAF",2.68333613039751,2.68333613039751,28.18,0.804001216941053,28.18,0.804001216941053
"2020-10","South Africa",-704683,0,0,0.0775708566799587,"ZAF",2.75978189967086,2.75978189967086,24.97,0.85801811674674,24.97,0.85801811674674
"2020-11","South Africa",-704683,0,0,0.233432232560419,"ZAF",1.44057540509091,1.44057540509091,18.61,0.492937007996407,18.61,0.492937007996407
