"month","country","date","new_cases_month","index","NI_diff","mean_half_year","total_sum","F_Vero","B_Vero","infection","F_Vero_per_month","F_W_V","F_WC_V","F_B_V","F_BC_V","F_I_BWP","F_I_WP","F_I_BCWP","cut_off","NPI","T_Vero","P_Vero","travel","travel_route","GR_NCM_log_diff","F_I","total_case","sub_lineage","sub_gisaid","sub_richness","sub_evenness","month1","year","travel2"
"2019-12","Czechia",2019-12-01,NA,1,-538338,9268,4111356,0,0,0,0,0,0,0,0,0,0,0,FALSE,NA,0,0,NA,935,NA,0,NA,NA,NA,NA,NA,12,2019,6.84054652928869
"2020-01","Czechia",2020-01-01,NA,1,-538338,9268,4111356,0,0,0,0,0,0,0,0,0,0,0,FALSE,NA,0,0,NA,353,NA,0,NA,NA,NA,NA,NA,1,2020,5.8664680569333
"2020-02","Czechia",2020-02-01,NA,1,-538338,9268,4111356,0,0,0,0,0,0,0,0,0,0,0,FALSE,NA,0,0,NA,287,NA,0,NA,NA,NA,NA,NA,2,2020,5.65948221575962
"2020-03","Czechia",2020-03-01,3308,1,-538338,9268,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,57.5264516129032,0,0,9555,2557,NA,0,3308,1.28356052104695,1.45349754776089,5.78,0.750414902771561,3,2020,7.84658997529119
"2020-04","Czechia",2020-04-01,4374,1,-538338,9268,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,66.882,0,0,8454,2448,0.279334145093131,0,7682,0.990999882811228,1.08689966110445,3.46,0.831310163353318,4,2020,7.80302664363222
"2020-05","Czechia",2020-05-01,1586,1,-538338,9268,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,51.9112903225806,0,0,12906,3324,-1.01446279904192,0,9268,0.55737070935244,0.447142691741,1.94318181818182,0.971177154406974,5,2020,8.10892415597534
"2020-06","Czechia",2020-06-01,2686,2,-529070,514030,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,38.102,0,0,26665,5516,0.52683797488839,0,11954,0.165015746927129,0.302339060584139,1.27160493827161,0.941311632094685,6,2020,8.61540823891319
"2020-07","Czechia",2020-07-01,4620,2,-529070,514030,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,35.9306451612903,0,0,42556,6323,0.542341606992601,0,16574,1.00852442735838,0.496926720552088,3.15151515151515,0.937457197256457,7,2020,8.75194905805861
"2020-08","Czechia",2020-08-01,8044,2,-529070,514030,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,36.11,0,0,48507,6847,0.554531766816758,0,24618,1.07604240014955,0.525184089577282,3.5,0.912510779105878,8,2020,8.83156587912106
"2020-09","Czechia",2020-09-01,46145,2,-529070,514030,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,38.2413333333333,0,0,36005,5596,1.74686214080713,0,70763,1.26789316299876,0.886118668542933,4.21,0.925486613334261,9,2020,8.62980733578537
"2020-10","Czechia",2020-10-01,264339,2,-529070,514030,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,54.3022580645161,0,0,25373,4817,1.74544375759823,0,335102,1.18930708607581,0.504499860565442,6.23,0.657797258686028,10,2020,8.47990660663022
"2020-11","Czechia",2020-11-01,188196,2,-529070,514030,4111356,0,0,0,0,0,0,0,0,0,0,0,TRUE,71.5423333333333,0,0,21490,4580,-0.339748397375484,0,523298,1.10962404533195,0.611746020982844,3.8989898989899,0.845684889241772,11,2020,8.42945427710823
"2020-12","Czechia",2020-12-01,195363,3,-24308,1140188,4111356,0,0,93.39,0,0,0,0,0,0,0,0,TRUE,66.5783870967742,0.064,0.064,19376,4110,0.0373753935695564,0,718661,0.838346461569803,0.58531282069973,2.87878787878788,0.878692761372465,12,2020,8.32117830749028
"2021-01","Czechia",2021-01-01,266113,3,-24308,1140188,4111356,0.08,0,93.39,0.08,0.08,0,0.08,0,0.074712,0.074712,0,TRUE,75.2987096774194,1.21870967741935,1.13806451612903,18951,3724,0.309061664094846,0.074712,984774,1.44180707115077,1.08990753275442,9.24,0.654423266975278,1,2021,8.22255363839696
"2021-02","Czechia",2021-02-01,250706,3,-24308,1140188,4111356,1.54178571428571,0,93.1249517930553,1.46178571428571,1.54178571428571,0.08,1.54178571428571,0.08,1.43578720318078,1.43578720318078,0.0744999614344442,TRUE,77.9421428571429,4.50535714285714,2.96428571428571,19353,4177,-0.0596400927391976,1.43578720318078,1235480,0.782936747052227,0.673898377677171,9.23,0.356465841639161,2,2021,8.33734856449717
"2021-03","Czechia",2021-03-01,299066,3,-24308,1140188,4111356,3.22741935483871,0,91.1494751309305,1.685633640553,3.22741935483871,1.54178571428571,3.22741935483871,1.54178571428571,2.94177580220955,2.94177580220955,1.40532958621509,TRUE,80.0167741935484,11.2538709677419,8.02516129032258,18165,3989,0.176383346952587,2.94177580220955,1534546,0.71441183702394,0.697692565869708,7.28,0.363518941840985,3,2021,8.29129585190541
"2021-04","Czechia",2021-04-01,98426,3,-24308,1140188,4111356,7.54666666666667,0,91.0151541124097,4.31924731182796,7.54666666666667,3.22741935483871,7.54666666666667,3.22741935483871,6.86861029701652,6.86861029701652,2.93744069966019,TRUE,66.2953333333333,22.5566666666667,15.0183333333333,20638,4473,-1.11135928801957,6.86861029701652,1632972,0.359419453088483,0.568274268822933,8.12,0.171983080033268,4,2021,8.40581460343285
"2021-05","Czechia",2021-05-01,30514,3,-24308,1140188,4111356,10.9935483870968,0,91.2856850624146,3.44688172043013,10.9935483870968,7.54666666666667,10.9935483870968,7.54666666666667,10.0355359578293,10.0355359578293,6.88902636604356,TRUE,53.7945161290323,39.7441935483871,28.9716129032258,25298,5086,-1.1711194021075,10.0355359578293,1663486,0.586992444360065,0.896012243128056,7.25,0.297954404333454,5,2021,8.53424694598207
"2021-06","Czechia",2021-06-01,6015,4,601850,489866,4111356,21.9573333333333,0,91.4135924211045,10.9637849462365,21.9573333333333,10.9935483870968,21.9573333333333,10.9935483870968,20.0719871998766,20.0719871998766,10.0495975151976,TRUE,44.5696666666667,64.4706666666667,43.18,33150,5505,-1.62392924526437,20.0719871998766,1669501,1.00235121729855,1.23998914902356,7.69,0.499720146249078,6,2021,8.61341204915678
"2021-07","Czechia",2021-07-01,6289,4,601850,489866,4111356,38.8451612903226,0,91.567227734354,16.8878279569893,38.7651612903226,21.9573333333333,38.7651612903226,21.9573333333333,35.4961835202993,35.4961835202993,20.1057214177245,TRUE,36.1738709677419,88.12,50.318064516129,46570,5404,0.0445457261347233,35.5694373024868,1675790,1.9172812869524,0.234416514181712,18.66,0.657215166887204,7,2021,8.59489469908009
"2021-08","Czechia",2021-08-01,5613,4,601850,489866,4111356,50.1103225806452,0,91.6098494268751,11.2651612903226,48.5685368663595,38.7651612903226,48.5685368663595,38.7651612903226,44.4935634921083,44.4935634921083,35.5127058881498,TRUE,31.9896774193548,103.025483870968,54.5658064516129,50028,5453,-0.113716739601303,45.9059910634505,1681403,2.54422709139929,0.0673457543870497,28.45,0.761449066063517,8,2021,8.60392119492606
"2021-09","Czechia",2021-09-01,12300,4,601850,489866,4111356,54.9386666666667,0.0106666666666667,91.625302053108,4.8283440860215,51.711247311828,48.5685368663595,51.7219139784947,48.5685368663595,47.3903599104444,47.3805865448921,44.501068606577,TRUE,32.41,109.245333333333,56.373,43851,5318,0.784513926418308,50.3377192772835,1693703,2.47546541003247,0.00873070928579055,30.19,0.727540922287158,9,2021,8.57885257180297
"2021-10","Czechia",2021-10-01,72509,4,601850,489866,4111356,56.3922580645161,0.708064516129032,91.6207480426894,1.4535913978494,48.8455913978494,51.711247311828,49.5536559139785,51.7219139784947,45.4014302308875,44.7526962245852,47.3880044890931,TRUE,34.8312903225806,112.143870967742,57.411935483871,39390,5493,1.77411142970882,51.6670086768735,1766212,2.26051652593617,0.042919748684977,26.92,0.687468904914057,10,2021,8.61122983334262
"2021-11","Czechia",2021-11-01,387140,4,601850,489866,4111356,58.1553333333333,5.14766666666667,91.6120452373013,1.7630752688172,47.1617849462365,48.8455913978494,52.3094516129032,49.5536559139785,47.9217584749971,43.2058757596649,45.3971176726506,TRUE,35.19,120.42,60.3186666666667,34641,4711,1.67507569263021,53.2772902812367,2153352,2.22906341564008,0.0407485328918321,27.62,0.672781127857679,11,2021,8.45765547870004
