"month","country","date","F_Vero","B_Vero","VE","FW_BW_P","travel_route","GR_NCM_log_diff","new_cases_month","total_case","NPI_NV","shannon_strategy1","richness_strategy1","evenness_strategy1","redefine_shannon_strategy1","richness_redefine_strategy1","evenness_redefine_strategy1","simpson_strategy1","shannon_strategy2","richness_strategy2","evenness_strategy2","shannon_strategy3","richness_strategy3","evenness_strategy3","month1","year"
"2020-08","South Korea","2020-08-01",0,0,NA,0,NA,1.36966972039349,5846,20181,53.24,0.606311139513025,4.21,0.424522278448285,0.606311139513025,4.21,0.424522278448285,0.281450653983353,0.712882570448959,10.1,0.309465365242792,0.628431638291639,4.1,0.450867199607896,8,2020
"2020-09","South Korea","2020-09-01",0,0,NA,0,NA,-0.455534742520459,3707,23888,51.094,0.989734057495935,5.7,0.567250613636823,0.989734057495935,5.7,0.567250613636823,0.44393351800554,1.36837456873378,23,0.436414317647938,0.82306477260814,3.73,0.649505484410312,9,2020
"2020-10","South Korea","2020-10-01",0,0,NA,0,NA,-0.300077616822816,2746,26634,57.6454838709677,0.932774719601078,4.51,0.620462169340564,0.932774719601078,4.51,0.620462169340564,0.450612244897959,1.35272221449676,24,0.425644840115454,0.897542657432108,4.71,0.589667887176902,10,2020
"2020-11","South Korea","2020-11-01",0,0,NA,0,NA,1.07141897971503,8017,34651,52.8403333333333,0.333239268000426,3.59,0.264646034796147,0.333239268000426,3.59,0.264646034796147,0.140675,0.482615175610054,11.99,0.194586371652336,0.379993254005072,3.2,0.34306825226968,11,2020
"2020-12","South Korea","2020-12-01",0,0,NA,0,NA,1.21859655042357,27117,61768,61.7829032258065,0.669136998150336,11.94,0.270154757616455,0.669136998150336,11.94,0.270154757616455,0.241108347750865,0.700804271137457,15.28,0.257167337706852,0.534805438676863,4.73,0.349391766209245,12,2020
"2021-01","South Korea","2021-01-01",0,0,NA,0,NA,-0.482419511363901,16739,78507,63.8451612903226,1.24124555234272,11.76,0.506150095872267,1.24124555234272,11.76,0.506150095872267,0.50687641723356,1.28180404962913,18.35,0.441282545056998,1.07540039198392,6.46,0.580683136079984,1,2021
"2021-02","South Korea","2021-02-01",0.02,0,NA,0.0168067438242308,NA,-0.373396288088605,11523,90030,63.89,1.03003693103238,7.42,0.521520089000852,1.03003693103238,7.42,0.521520089000852,0.491498216409037,1.12319848822341,14.39,0.4227588380709,0.974717511645129,5.85,0.566977093716641,2,2021
"2021-03","South Korea","2021-03-01",0.0396774193548387,0,NA,0.0305229040710149,NA,0.166312817061682,13608,103638,58.33,0.681905134230648,5.57,0.40462808065856,0.681905134230648,5.57,0.40462808065856,0.324805363321799,0.740275782511099,9.51,0.330421000774368,0.666819386182293,4.87,0.433006759917092,3,2021
"2021-04","South Korea","2021-04-01",0.239333333333333,0,NA,0.196374622399489,NA,0.333517931546028,18995,122633,58.33,1.42390065055692,9.11,0.64918266171537,1.42390065055692,9.11,0.64918266171537,0.681320775623269,1.4816781409465,12.11,0.596831641865175,1.42629026315292,8.85,0.660304354722633,4,2021
"2021-05","South Korea","2021-05-01",2.37096774193548,0,NA,2.01496379701052,NA,-0.044679120966423,18165,140798,50.8064516129032,1.52107483125776,10.26,0.657537050620782,1.52107483125776,10.26,0.657537050620782,0.696041540876706,1.55239819908941,13.79,0.594056280379917,1.39956926914564,6.43,0.761708048967669,5,2021
