"month","country","date","F_I_BWP","GR_NCM_log_diff","NPI","travel","travel_route","code","sub_lineage","sub_richness","sub_evenness"
"2021-11","Bulgaria",18932,15.9228597662146,-0.0805536524963824,47.3126666666667,11258,2502,"BGR",2.4741880098151,29.05,0.735055227051446
"2021-12","Bulgaria",18962,17.8057162446743,-0.575687093268845,49.3722580645161,14179,2673,"BGR",2.41320707928347,26.45,0.737154715269057
"2022-01","Bulgaria",18993,20.0919499747523,1.37008816758165,50,9707,2444,"BGR",1.76700919107457,7,0.908063094245335
"2022-02","Bulgaria",19024,20.6719266737039,-0.385581796505656,44.44,10378,2455,"BGR",NA,NA,NA
"2019-12","Canada",18231,0,NA,NA,NA,146,NA,NA,NA,NA
"2020-01","Canada",18262,0,NA,2.78,NA,974,"CAN",NA,NA,NA
"2020-02","Canada",18293,0,1.98100146886658,2.78,NA,964,"CAN",NA,NA,NA
"2020-03","Canada",18322,0,5.90864499907366,39.0851612903226,12331,12331,"CAN",1.82441630394368,14.63,0.680902961012677
"2020-04","Canada",18353,0,1.47133127656327,72.875,8628,8019,"CAN",2.15408249611411,22.54,0.693404067329695
"2020-05","Canada",18383,0,-0.288377609925908,71.43,9154,8552,"CAN",2.3641890734265,19.11,0.803160507161988
"2020-06","Canada",18414,0,-1.02213593987345,70.275,11169,9436,"CAN",2.42580151254105,17.54,0.849193314381833
"2020-07","Canada",18444,0,-0.0211942338366082,67.6074193548387,12813,7701,"CAN",2.31409257873661,17.39,0.812030546784772
"2020-08","Canada",18475,0,0.0344226734019664,66.8609677419355,13448,6717,"CAN",2.53136281517032,18.09,0.876004869803716
"2020-09","Canada",18506,0,0.953245010901894,64.2933333333333,13043,7284,"CAN",2.50938214719707,27.55,0.757654762399808
"2020-10","Canada",18536,0,0.825790901519154,63.43,12944,6906,"CAN",2.94467171671187,39.59,0.801139702842999
"2020-11","Canada",18567,0,0.659760328515279,68.1166666666667,12055,6499,"CAN",3.07260990662322,49.43,0.78821581840236
"2020-12","Canada",18597,0,0.350632304860902,70.83,12196,6098,"CAN",2.96815042239434,62.04,0.719480187401506
"2021-01","Canada",18628,0.0814889396824514,-0.0706969520979221,74.5341935483871,11774,5745,"CAN",2.99527842949663,60.4,0.730857851198061
"2021-02","Canada",18659,0.773643883005649,-0.793768663062817,75.46,11877,5444,"CAN",2.38366937583182,37.3,0.65950184430743
"2021-03","Canada",18687,1.52411181691794,0.325607968056863,73.1922580645161,12228,5860,"CAN",1.92685846476699,36.4,0.536709690943054
"2021-04","Canada",18718,2.20599216054648,0.687290325886792,75.46,13021,6289,"CAN",1.63230144754396,36.16,0.455495764959275
"2021-05","Canada",18748,3.68580742563703,-0.426679167536152,75.2809677419355,13407,6703,"CAN",1.3160380825506,28.7,0.392794039176134
"2021-06","Canada",18779,14.6143896195264,-1.56738516738377,72.87,14017,7008,"CAN",1.7142838458897,17.04,0.606436826069339
"2021-07","Canada",18809,43.5500176217215,-0.763483958814826,65.1306451612903,16184,9909,"CAN",2.13566317445588,14.86,0.794995278327762
"2021-08","Canada",18840,58.1879321443739,1.51623209421167,62.2025806451613,21257,11314,"CAN",1.79028022663973,28.44,0.535881354267918
"2021-09","Canada",18871,62.5631682655352,0.587422762420761,70.956,22758,9120,"CAN",1.69881867736534,34.08,0.48204465767877
"2021-10","Canada",18901,66.048307933478,-0.313802718049359,69.9351612903226,22214,14093,"CAN",1.45328097962522,24.89,0.453174313299293
"2021-11","Canada",18932,68.3611809475128,-0.155316233372936,72.69,24306,16197,"CAN",2.00493283234404,32.21,0.578152650885947
"2021-12","Canada",18962,66.4891939415694,1.69526505416689,67.7874193548387,27538,11439,"CAN",2.25741750485792,56.12,0.560817414554306
"2022-01","Canada",18993,57.5520860157293,0.693302422808729,77.6429032258064,19867,8863,"CAN",1.94261443680467,39,0.530252968134695
"2022-02","Canada",19024,56.2381694518547,-1.31303581177448,75.13,20079,7399,"CAN",1.49417513828931,5,0.928383211769586
"2019-12","Chile",18231,0,NA,NA,NA,749,NA,NA,NA,NA
"2020-01","Chile",18262,0,NA,NA,NA,110,"CHL",NA,NA,NA
"2020-02","Chile",18293,0,NA,0,NA,6,"CHL",NA,NA,NA
"2020-03","Chile",18322,0,7.2591161280971,32.7064516129032,6282,6282,"CHL",1.33694151088267,5.07,0.837128746707483
"2020-04","Chile",18353,0,1.65403041105471,73.15,7873,7873,"CHL",1.56206351667034,9,0.713708441353868
"2020-05","Chile",18383,0,1.96346566201049,76.5690322580645,7790,7790,"CHL",1.96883462776408,10,0.855054014617985
"2020-06","Chile",18414,0,0.386844987482174,78.24,7290,7290,"CHL",2.11964295250481,12,0.853007074807275
"2020-07","Chile",18444,0,-0.714516970161082,85.438064516129,7171,7171,"CHL",2.15048576683092,13,0.838412563809526
"2020-08","Chile",18475,0,-0.30792741251434,83.5541935483871,7238,7238,"CHL",2.14138852787051,13,0.834865811927682
"2020-09","Chile",18506,0,-0.0893964494248074,81.94,6728,6728,"CHL",1.91766993623762,10,0.832833471419759
"2020-10","Chile",18536,0,-0.0812381942447065,81.94,5810,5693,"CHL",2.04990814480502,15,0.756968295480889
